#[Semimajor Axis] from 2 to 4(AU), [Absolute Magnitude] under 9.7(mag) (equivalent to diameters D > 50km, assuming a visual geometric albedo of 0.09)
#object		ω(°)	Ω(°)	i(°)	e	q(AU)	a(AU)	M(°)	n(°/d)	Q(AU)	P(yrs)	H(mag)
(141) Lumen	58.1	318.5	11.9	0.21	2.09	2.66	292.5	0.227	3.24	4.35	8.4
(143) Adria	253.3	333.1	11.4	0.07	2.56	2.76	225.3	0.215	2.97	4.59	9.1
(144) Vibilia	293.8	76.4	4.8	0.23	2.03	2.66	140.6	0.228	3.28	4.33	7.9
(145) Adeona	44.0	77.4	12.6	0.14	2.29	2.67	233.7	0.225	3.06	4.37	8.1
(146) Lucina	147.0	84.0	13.1	0.07	2.54	2.72	198.1	0.220	2.90	4.48	8.2
(1467) Mashona	349.8	326.6	22.0	0.13	2.94	3.38	191.7	0.158	3.83	6.22	8.6
(147) Protogeneia	100.7	248.4	1.9	0.03	3.05	3.14	92.9	0.178	3.22	5.55	8.8
(148) Gallia	252.7	145.1	25.3	0.19	2.26	2.77	150.5	0.213	3.29	4.62	7.6
(15) Eunomia	97.5	293.2	11.7	0.19	2.15	2.64	55.1	0.229	3.14	4.30	5.3
(150) Nuwa	151.8	206.2	2.2	0.13	2.61	2.98	138.0	0.191	3.36	5.15	8.2
(151) Abundantia	130.9	38.9	6.4	0.03	2.50	2.59	141.9	0.236	2.68	4.17	9.2
(1512) Oulu	239.5	10.2	6.5	0.15	3.38	3.96	282.9	0.125	4.55	7.89	9.6
(152) Atala	59.8	39.9	12.1	0.08	2.90	3.14	52.6	0.177	3.39	5.57	8.3
(153) Hilda	38.6	228.2	7.8	0.14	3.42	3.98	51.7	0.124	4.53	7.93	7.5
(154) Bertha	159.7	36.7	21.0	0.08	2.95	3.20	125.0	0.172	3.44	5.72	7.6
(156) Xanthippe	338.4	241.8	9.8	0.23	2.11	2.73	262.8	0.219	3.35	4.50	8.6
(1567) Alikoski	110.9	51.5	17.3	0.08	2.94	3.21	66.4	0.171	3.48	5.75	9.5
(158) Koronis	142.4	278.0	1.0	0.05	2.72	2.87	15.3	0.203	3.02	4.86	9.3
(159) Aemilia	333.4	134.1	6.1	0.11	2.77	3.10	214.0	0.180	3.44	5.47	8.1
(16) Psyche	227.1	150.3	3.1	0.14	2.52	2.92	93.0	0.197	3.32	4.99	5.9
(160) Una	52.8	8.6	3.8	0.07	2.55	2.73	144.5	0.219	2.91	4.51	9.1
(161) Athor	295.0	18.6	9.1	0.14	2.05	2.38	348.8	0.269	2.71	3.67	9.2
(162) Laurentia	116.3	35.5	6.1	0.18	2.48	3.02	300.0	0.188	3.56	5.24	8.8
(163) Erigone	298.3	160.2	4.8	0.19	1.92	2.37	280.0	0.271	2.82	3.64	9.5
(164) Eva	284.0	76.9	24.5	0.35	1.72	2.63	219.5	0.231	3.54	4.27	8.9
(165) Loreley	347.3	302.5	11.2	0.08	2.86	3.13	125.9	0.178	3.39	5.52	7.7
(167) Urda	133.0	166.2	2.2	0.04	2.75	2.85	37.6	0.204	2.96	4.82	9.2
(168) Sibylla	173.9	206.0	4.7	0.07	3.14	3.38	171.5	0.158	3.62	6.22	7.9
(169) Zelia	334.9	354.8	5.5	0.13	2.05	2.36	249.6	0.272	2.67	3.62	9.6
(17) Thetis	136.1	125.6	5.6	0.13	2.14	2.47	49.7	0.254	2.80	3.88	7.8
(170) Maria	159.2	301.3	14.4	0.06	2.39	2.55	88.1	0.241	2.72	4.08	9.4
(171) Ophelia	56.8	100.5	2.5	0.13	2.72	3.13	11.2	0.178	3.55	5.54	8.3
(172) Baucis	359.2	332.0	10.0	0.11	2.11	2.38	175.5	0.268	2.65	3.67	8.8
(173) Ino	228.6	148.2	14.2	0.21	2.18	2.75	177.4	0.217	3.31	4.55	7.7
(174) Phaedra	289.1	327.7	12.1	0.14	2.46	2.86	330.7	0.204	3.27	4.84	8.5
(175) Andromache	320.4	21.4	3.2	0.23	2.44	3.19	35.7	0.173	3.93	5.69	8.3
(176) Iduna	188.2	200.5	22.7	0.17	2.65	3.19	165.1	0.173	3.72	5.69	8.3
(177) Irma	38.2	347.5	1.4	0.24	2.11	2.77	42.1	0.214	3.43	4.61	9.5
(178) Belisana	212.9	51.1	1.9	0.04	2.35	2.46	119.5	0.255	2.57	3.86	9.4
(179) Klytaemnestra	103.7	251.9	7.8	0.11	2.63	2.97	78.9	0.192	3.31	5.12	8.2
(18) Melpomene	227.9	150.5	10.1	0.22	1.79	2.30	343.9	0.283	2.80	3.48	6.5
(181) Eucharis	318.9	143.2	18.9	0.20	2.49	3.13	32.3	0.178	3.77	5.54	7.8
(182) Elsa	310.2	107.2	2.0	0.19	1.97	2.42	20.4	0.262	2.86	3.76	9.1
(183) Istria	264.1	142.0	26.4	0.35	1.81	2.79	294.8	0.211	3.77	4.66	9.7
(184) Dejopeja	209.7	331.6	1.1	0.07	2.97	3.19	119.2	0.173	3.40	5.69	8.3
(185) Eunike	224.0	153.8	23.2	0.13	2.38	2.74	327.5	0.218	3.09	4.53	7.6
